DATAFLOW,LAST UPDATE,freq,airpol,unit,src_crf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,AT,2010,63.0,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,AT,2011,64.3,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,AT,2012,65.1,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,AT,2013,66.5,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,AT,2014,68.4,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,AT,2015,69.4,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,AT,2016,70.5,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,AT,2017,71.2,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,AT,2018,72.6,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,AT,2019,73.2,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,AT,2020,73.9,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,AT,2021,74.1,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BE,2010,64.8,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BE,2011,66.2,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BE,2012,67.0,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BE,2013,67.8,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BE,2014,69.4,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BE,2015,70.2,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BE,2016,70.9,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BE,2017,71.0,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BE,2018,71.9,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BE,2019,72.3,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BE,2020,73.4,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BE,2021,73.5,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BG,2010,29.6,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BG,2011,28.5,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BG,2012,28.7,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BG,2013,29.9,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BG,2014,30.6,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BG,2015,30.1,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BG,2016,30.6,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BG,2017,30.8,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BG,2018,31.7,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BG,2019,32.2,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BG,2020,33.9,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,BG,2021,34.1,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CH,2010,79.7,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CH,2011,80.5,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CH,2012,81.0,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CH,2013,81.3,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CH,2014,82.0,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CH,2015,82.2,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CH,2016,82.2,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CH,2017,82.4,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CH,2018,82.7,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CH,2019,82.8,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CH,2020,83.1,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CH,2021,83.2,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CY,2010,39.9,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CY,2011,39.4,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CY,2012,37.8,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CY,2013,35.9,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CY,2014,35.0,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CY,2015,34.8,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CY,2016,36.0,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CY,2017,36.3,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CY,2018,36.4,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CY,2019,36.6,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CY,2020,38.5,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CY,2021,39.8,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CZ,2010,24.3,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CZ,2011,23.8,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CZ,2012,23.8,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CZ,2013,24.6,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CZ,2014,24.9,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CZ,2015,25.7,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CZ,2016,26.7,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CZ,2017,27.3,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CZ,2018,28.3,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CZ,2019,29.0,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CZ,2020,30.7,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,CZ,2021,30.4,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,DE,2010,60.1,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,DE,2011,61.3,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,DE,2012,61.3,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,DE,2013,63.4,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,DE,2014,65.9,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,DE,2015,66.5,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,DE,2016,68.2,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,DE,2017,68.9,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,DE,2018,70.8,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,DE,2019,74.3,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,DE,2020,75.3,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,DE,2021,75.6,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,DK,2010,81.3,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,DK,2011,82.3,
ESTAT:TAI08(1.0),28/04/23 23:00:00,A,CH4,PC,CRF3,DK,2012,83.6,
